cd_nom;StN_2020;nom_scient_TaxRef_v15
24338;Cheilosia bergenstammi Becker,  1894;Cheilosia bergenstammi Becker, 1894
24339;Cheilosia caerulescens (Meigen),  1822;Cheilosia caerulescens (Meigen, 1822)
24341;Cheilosia carbonaria Egger,  1860;Cheilosia carbonaria Egger, 1860
24342;Cheilosia chloris (Meigen),  1822;Cheilosia chlorus (Meigen, 1822)
24343;Cheilosia chrysocoma (Meigen),  1822;Cheilosia chrysocoma (Meigen, 1822)
24344;Cheilosia cynocephala Loew,  1840;Cheilosia cynocephala Loew, 1840
24345;Cheilosia fasciata Schiner & Egger,  1853;Cheilosia fasciata Schiner & Egger, 1853
24349;Cheilosia fraterna (Meigen),  1830;Cheilosia fraterna (Meigen, 1830)
217391;Cheilosia gigantea (Zetterstedt),  1838;Cheilosia gigantea (Zetterstedt, 1838)
24353;Cheilosia grossa (Fallen),  1817;Cheilosia grossa (Fallén, 1817)
217394;Cheilosia himantopa (Panzer),  1798;Cheilosia himantopa (Panzer, 1798)
24429;Cheilosia illustrata (Harris),  1780;Cheilosia illustrata (Harris, 1780)
24431;Cheilosia impressa Loew,  1840;Cheilosia impressa Loew, 1840
217402;Cheilosia latifrons (Zetterstedt),  1843;Cheilosia latifrons (Zetterstedt, 1843)
24436;Cheilosia lenis Becker,  1894;Cheilosia lenis Becker, 1894
24438;Cheilosia longula (Zetterstedt),  1838;Cheilosia longula (Zetterstedt, 1838)
190664;;Cheilosia sp
24441;Cheilosia mutabilis (Fallen),  1817;Cheilosia mutabilis (Fallén, 1817)
24434;Cheilosia nebulosa (Verrall),  1871;Cheilosia nebulosa (Verrall, 1871)
24444;Cheilosia nigripes (Meigen),  1822;Cheilosia nigripes (Meigen, 1822)
24447;Cheilosia pagana (Meigen),  1822;Cheilosia pagana (Meigen, 1822)
24453;Cheilosia proxima (Zetterstedt),  1843;Cheilosia proxima (Zetterstedt, 1843)
217417;Cheilosia psilophthalma Becker,  1894;Cheilosia psilophthalma Becker, 1894
217418;Cheilosia ranunculi Doczkal,  2000;Cheilosia ranunculi Doczkal, 2000
24458;Cheilosia rufimana Becker,  1894;Cheilosia rufimana Becker, 1894
24459;Cheilosia scutellata (Fallen),  1817;Cheilosia scutellata (Fallén, 1817)
24460;Cheilosia semifasciata Becker,  1894;Cheilosia semifasciata Becker, 1894
24461;Cheilosia soror (Zetterstedt),  1843;Cheilosia soror (Zetterstedt, 1843)
217422;Cheilosia urbana (Meigen), 1822;Cheilosia urbana (Meigen, 1822)
24463;Cheilosia variabilis (Panzer),  1798;Cheilosia variabilis (Panzer, 1798)
24464;Cheilosia velutina Loew,  1840;Cheilosia velutina Loew, 1840
24466;Cheilosia vernalis (Fallen),  1817;Cheilosia vernalis (Fallén, 1817)
217426;Cheilosia vicina (Zetterstedt),  1849;Cheilosia vicina (Zetterstedt, 1849)
24469;Cheilosia vulpina (Meigen),  1822;Cheilosia vulpina (Meigen, 1822)
850493;Chrysogaster cemiteriorum (L.),  1758;Chrysogaster cemiteriorum (Linnaeus, 1758)
217429;Chrysogaster rondanii Maibach & Goeldlin,  1995;Chrysogaster rondanii Maibach & Goeldlin, 1995
24476;Chrysogaster solstitialis (Fallen),  1817;Chrysogaster solstitialis (Fallén, 1817)
24480;Chrysogaster virescens Loew,  1854;Chrysogaster virescens Loew, 1854
645015;Chrysotoxum fasciatum (Muller),  1764;Chrysotoxum arcuatum (Linnaeus, 1758)
23173;Chrysotoxum bicinctum (L.),  1758;Chrysotoxum bicinctum (Linnaeus, 1758)
23175;Chrysotoxum cautum (Harris),  1776;Chrysotoxum cautum (Harris, 1778)
23177;Chrysotoxum elegans Loew,  1841;Chrysotoxum elegans Loew, 1841
23178;Chrysotoxum festivum (L.),  1758;Chrysotoxum festivum (Linnaeus, 1758)
23182;Chrysotoxum vernale Loew,  1841;Chrysotoxum vernale Loew, 1841
23183;Chrysotoxum verralli Collin,  1940;Chrysotoxum verralli Collin, 1940
23686;Criorhina asilica (Fallen),  1816;Criorhina asilica (Fallén, 1816)
23687;Criorhina berberina (Fabricius),  1805;Criorhina berberina (Fabricius, 1805)
23689;Criorhina floccosa (Meigen),  1822;Criorhina floccosa (Meigen, 1822)
23690;Criorhina pachymera (Egger),  1858;Criorhina pachymera (Egger, 1858)
23692;Criorhina ranunculi (Panzer),  1804;Criorhina ranunculi (Panzer, 1804)
23111;Dasysyrphus albostriatus (Fallen),  1817;Dasysyrphus albostriatus (Fallén, 1817)
23114;Dasysyrphus hilaris (Zetterstedt),  1843;Dasysyrphus hilaris (Zetterstedt, 1843)
